University,Total Amount,Canton,Latitude,Longitude
Allergie- und Asthmaforschung - SIAF,19169965.0,,,
Berner Fachhochschule - BFH,31028695.0,,,
Centre de rech. sur l'environnement alpin - CREALP,1567678.0,,,
Eidg. Anstalt für Wasserversorgung - EAWAG,74619222.37,,,
"Eidg. Forschungsanstalt für Wald,Schnee,Land - WSL",48360389.629999995,,,
Eidg. Hochschulinstitut für Berufsbildung - EHB,2086572.0,,,
Eidg. Material und Prüfungsanstalt - EMPA,58574515.92,,,
Ente Ospedaliero Cantonale - EOC,5067172.0,,,
Fachhochschule Kalaidos - FHKD,1090280.0,,,
Fachhochschule Ostschweiz - FHO,4437056.0,,,
Fernfachhochschule Schweiz (Mitglied SUPSI) - FFHS,12000.0,,,
Firmen/Privatwirtschaft - FP,111686719.9,,,
Forschungsanstalten Agroscope - AGS,33115719.0,,,
Forschungsinstitut für Opthalmologie - IRO,3478469.0,,,
Forschungsinstitut für biologischen Landbau - FIBL,7442410.0,,,
Forschungskommission SAGW,100000.0,,,
Franklin University Switzerland - FUS,65956.0,,,
Friedrich Miescher Institute - FMI,40229142.61,,,
HES de Suisse occidentale - HES-SO,34162965.46,,,
"Haute école pédagogique BE, JU, NE - HEPBEJUNE",627380.0,,,
Haute école pédagogique du canton de Vaud - HEPL,1430686.0,,,
Haute école pédagogique fribourgeoise - HEPFR,1547498.0,,,
Hochschule Luzern - HSLU,10768116.36,,,
Idiap Research Institute - IDIAP,22183105.2,,,
Inst. Suisse de Spéléologie et Karstologie - ISSKA,624819.0,,,
Inst. de Hautes Etudes Internat. et du Dév - IHEID,38864231.6,,,
Inst. universit. romand de Santé au Travail - IST,6882729.85,,,
Istituto Svizzero di Roma - ISR,141000.0,,,
Physikal.-Meteorolog. Observatorium Davos - PMOD,12098436.0,,,
Pädagogische Hochschule Nordwestschweiz - PHFHNW,3476142.0,,,
SUP della Svizzera italiana - SUPSI,24040082.15,,,
Schweiz. Institut für Kunstwissenschaft - SIK-ISEA,4649550.0,,,
Schweizer Kompetenzzentrum Sozialwissensch. - FORS,34735816.0,,,
Schweizer Paraplegiker Forschung - SPF,1944211.0,,,
Swiss Center for Electronics and Microtech. - CSEM,18068246.0,,,
Swiss Institute of Bioinformatics - SIB,11583219.0,,,
Università della Svizzera italiana - USI,84970554.75,,,
Weitere Institute - FINST,9256736.0,,,
Weitere Spitäler - ASPIT,10749808.0,,,
Zürcher Fachhochschule (ohne PH) - ZFH,44843453.12,,,
